사업명,지원연도,지원기간,광역,기초,시장명,지원금액(단위_백만원),상인회명,상인회연락처
문화관광형시장,2023,2023~2024,전북,익산시,익산 구시장,252,익산구시장 상인회,063-856-7796
문화관광형시장,2023,2023~2024,전남,곡성군,곡성기차마을전통시장,210,곡성기차마을전통시장,061-363-9002
문화관광형시장,2023,2023~2024,전남,장흥군,정남진장흥토요시장,210,정남진장흥토요시장상인회,061-864-7002
문화관광형시장,2023,2023~2024,전남,함평군,함평시장,210,함평천지전통시장,061-322-1126
문화관광형시장,2023,2023~2024,경북,포항시,구룡포시장,252,구룡포시장 상인회,054-284-9040
문화관광형시장,2023,2023~2024,경북,고령군,고령대가야시장,210,고령대가야시장 상인회,054-954-5445
문화관광형시장,2023,2023~2024,경북,봉화군,봉화춘양시장(춘양시장),220,억지춘양시장 상인회,054-674-3080
문화관광형시장,2023,2023~2024,경북,문경시,가은아자개시장,210,가은아자개시장상인회,054-571-9811
문화관광형시장,2023,2023~2024,경북,울진군,울진시장,220,울진바지게시장상인회,054-783-2988
문화관광형시장,2023,2023~2024,경북,문경시,문경전통시장,210,문경전통시장 상인회,054-572-1404
문화관광형시장,2023,2023~2024,경북,상주시,상주중앙시장,220,상주중앙시장 상인회,054-535-7443
문화관광형시장,2023,2023~2024,경북,칠곡군,왜관시장,220,왜관시장 상인회,054-971-7660
문화관광형시장,2023,2023~2024,경남,고성군,고성시장,220,고성시장 상인회,055-674-6931
문화관광형시장,2023,2023~2024,경남,창원시,마산어시장,220,마산어시장 상인회,055-224-0009
문화관광형시장,2023,2023~2024,경남,의령군,의령시장,210,의령시장 상인회,055-573-2227
디지털전통시장,2022,2022~2023,서울,광진구,중곡제일전통시장(중곡제일시장),75,중곡제일전통시장(중곡제일시장),02-466-5003
디지털전통시장,2022,2022~2023,서울,강북구,수유전통시장,100,수유전통시장,02-989-4730
디지털전통시장,2022,2022~2023,서울,서대문구,포방터시장,75,포방터시장,02-379-9902
디지털전통시장,2022,2022~2023,서울,금천구,남문시장,75,남문시장,02-868-9727
디지털전통시장,2022,2022~2023,서울,동작구,성대전통시장,75,성대전통시장,02-822-4456
디지털전통시장,2022,2022~2023,서울,강동구,암사종합시장,100,암사종합시장,02-442-1040
디지털전통시장,2022,2022~2023,부산,수영구,망미중앙시장,75,망미중앙시장,051-761-2488
디지털전통시장,2022,2022~2023,인천,미추홀구,신기시장,100,신기시장,032-865-5424
디지털전통시장,2022,2022~2023,대전,동구,신도꼼지락시장,75,신도꼼지락시장,042-622-7078
디지털전통시장,2022,2022~2023,세종,세종시,세종전통시장,100,세종전통시장,044-863-4209
디지털전통시장,2022,2022~2023,경기,수원시,화서시장,75,화서시장,031-241-4578
디지털전통시장,2022,2022~2023,경기,수원시,수원못골시장,75,수원못골시장,031-246-5638
디지털전통시장,2022,2022~2023,경기,성남시,성남중앙시장,75,성남중앙시장,031-755-9222
디지털전통시장,2022,2022~2023,경기,안양시,안양중앙인정시장,100,안양중앙인정시장,031-447-9961
디지털전통시장,2022,2022~2023,충남,천안시,천안중앙시장(구 남산중앙시장),75,천안중앙시장(구 남산중앙시장),041-553-1135
디지털전통시장,2022,2022~2023,충남,당진시,당진전통시장,125,당진전통시장,041-357-8484
디지털전통시장,2022,2022~2023,전남,목포시,청호시장,75,청호시장,061-284-4389
디지털전통시장,2022,2022~2023,경북,문경시,점촌전통시장(구 신흥시장),75,점촌전통시장(구 신흥시장),054-553-3208
디지털전통시장,2022,2022~2023,경북,문경시,문경중앙시장,125,문경중앙시장,054-552-1123
디지털전통시장,2022,2022~2023,경북,경산시,하양꿈바우시장,75,하양꿈바우시장,053-856-0202
디지털전통시장,2022,2022~2023,경북,청송군,진보시장,75,진보시장,054-872-5915
디지털전통시장,2022,2022~2023,제주,서귀포시,매일올레시장,100,매일올레시장,064-762-1949
디지털전통시장,2023,2023~2024,서울,중랑구,중랑동부시장(동부골목시장),87.5,중랑동부시장(동부골목시장),02-437-8155
디지털전통시장,2023,2023~2024,서울,성북구,정릉시장,92.5,정릉시장,070-8950-7788
디지털전통시장,2023,2023~2024,서울,도봉구,방학동도깨비시장,87.5,방학동도깨비시장,02-954-1225
디지털전통시장,2023,2023~2024,서울,양천구,경창시장,82.5,경창시장,02-2606-5988
디지털전통시장,2023,2023~2024,서울,강동구,명일전통시장,87.5,명일전통시장,02-475-7095
디지털전통시장,2023,2023~2024,부산,동구,초량전통시장,87.5,초량전통시장,051-442-5445
디지털전통시장,2023,2023~2024,대구,달서구,와룡시장,92.5,와룡시장,053-582-2604
디지털전통시장,2023,2023~2024,인천,미추홀구,석바위시장,92.5,석바위시장,032-426-6877
디지털전통시장,2023,2023~2024,인천,계양구,계산시장,97.5,계산시장,032-541-8778
디지털전통시장,2023,2023~2024,대전,서구,도마큰시장,87.5,도마큰시장,042-531-8889
디지털전통시장,2023,2023~2024,울산,중구,학성새벽시장,87.5,학성새벽시장,052-298-3619
디지털전통시장,2023,2023~2024,울산,남구,(주)신정시장,82.5,(주)신정시장,052-272-2085
디지털전통시장,2023,2023~2024,울산,남구,울산번개시장,82.5,울산번개시장,052-267-4080
디지털전통시장,2023,2023~2024,경기,부천시,부천중동시장,92.5,부천중동시장,070-7377-1717
디지털전통시장,2023,2023~2024,경기,안산시,도리섬상점가,87.5,도리섬상점가,031-480-7851
디지털전통시장,2023,2023~2024,경기,가평군,설악눈메골시장,82.5,설악눈메골시장,031-585-9983
디지털전통시장,2023,2023~2024,경기,의정부시,의정부역지하상가,87.5,의정부역지하상가,031-874-9980
디지털전통시장,2023,2023~2024,충북,단양군,단양구경시장(단양인정시장),92.5,단양구경시장(단양인정시장),043-422-1706
디지털전통시장,2023,2023~2024,경북,포항시,큰동해시장,92.5,큰동해시장,054-277-2229
디지털전통시장,2023,2023~2024,경북,포항시,죽도농산물시장(연합),92.5,죽도농산물시장(연합),054-247-7888
첫걸음기반조성,2022,2022,서울,종로구,통인시장,135,통인시장 상인회,02-722-0911
첫걸음기반조성,2022,2022,서울,광진구,화양제일골목시장,135,화영제일시장 상인회,02-466-3988
첫걸음기반조성,2022,2022,서울,강북구,강북종합전통시장,135,강북종합전통시장 상인회,02-6081-7252
첫걸음기반조성,2022,2022,서울,관악구,인헌시장,135,인헌시장 상인회,02-877-2665
첫걸음기반조성,2022,2022,부산,동구,수정전통시장,162,수정전통시장 상인회,051-469-6326
첫걸음기반조성,2022,2022,부산,동래구,사직시장,162,사직시장 상인회,051-506-8003
첫걸음기반조성,2022,2022,부산,사하구,장림골목시장,162,장림골목시장 상인회,051-261-5354
첫걸음기반조성,2022,2022,대구,달서구,월배시장,162,월배시장 상인회,053-632-3265
첫걸음기반조성,2022,2022,대구,달서구,월배신시장,162,월배신시장 상인회,053-641-2311
첫걸음기반조성,2022,2022,대구,달서구,성서아울렛상점가(가로형),162,성서아울렛타운상가 번영회,053-583-0707
첫걸음기반조성,2022,2022,인천,남동구,소래포구전통어시장,168,소래포구전통어시장 상인회,032-446-7536
첫걸음기반조성,2022,2022,인천,부평구,일신시장(구 부일종합시장),162,일신시장 상인회,032-505-5732
첫걸음기반조성,2022,2022,인천,서구,루원음식문화거리 골목형상점가,162,루원음식문화거리 상인회,
첫걸음기반조성,2022,2022,광주,동구,남광주해뜨는시장,162,남광주해뜨는시장 상인회,062-226-9051
첫걸음기반조성,2022,2022,광주,동구,무등산상가거리상점가,162,무등산상가거리 상인회,
첫걸음기반조성,2022,2022,대전,동구,용운시장,162,용운종합시장 번영회,042-274-1113
첫걸음기반조성,2022,2022,울산,동구,대송농수산물시장,162,대송농수산물시장 상인회,052-252-7344
첫걸음기반조성,2022,2022,경기,의정부시,의정부역지하상가,140,사단법인 의정부역지하상가 상인회,031-874-9980
첫걸음기반조성,2022,2022,경기,이천시,사기막골도자기시장,108,사기막골도예촌 번영회,031-638-8388
첫걸음기반조성,2022,2022,충북,증평군,증평장뜰시장,135,증평장뜰시장 상인회,043-838-5501
첫걸음기반조성,2022,2022,충남,아산시,배방상점가,140,배방상점가 상인회,
첫걸음기반조성,2022,2022,충남,당진시,합덕전통시장,135,사단법인 합덕전통시장 상인회,041-363-1154
첫걸음기반조성,2022,2022,전북,익산시,익산 구시장,135,익산구시장 상인회,063-856-7796
첫걸음기반조성,2022,2022,전남,함평군,함평시장,135,함평천지전통시장,061-322-1126
첫걸음기반조성,2022,2022,경북,포항시,장량성도시장,135,장량성도시장 상인회,054-248-4874
첫걸음기반조성,2022,2022,경북,안동시,용상공설시장,135,안동용상시장 상인회,054-821-0640
첫걸음기반조성,2022,2022,경북,영주시,풍기인삼홍삼상점가,108,풍기인삼홍삼상점가 상인회,054-632-3989
첫걸음기반조성,2022,2022,경북,칠곡군,왜관시장,140,왜관시장 상인회,054-971-7660
첫걸음기반조성,2022,2022,경북,예천군,예천상설시장,108,사단법인 예천읍상설시장 번영회,054-654-3751
첫걸음기반조성,2022,2022,경북,봉화군,봉화내성시장,108,봉화내성시장 상인회,054-672-4800
첫걸음기반조성,2022,2022,경남,사천시,사천읍시장,135,사단법인 사천읍시장 번영회,055-852-2008
첫걸음기반조성,2023,2023,서울,동작구,남성역골목시장,153,남성역골목시장 상인회,
첫걸음기반조성,2023,2023,서울,금천구,은행나무시장,153,은행나무시장 상인회,02-802-5514
첫걸음기반조성,2023,2023,서울,동대문구,청량리종합시장,156,청량리종합시장 상인회,02-962-7100
첫걸음기반조성,2023,2023,서울,노원구,상계중앙시장,153,상계중앙시장 상인회,
첫걸음기반조성,2023,2023,서울,관악구,봉천제일종합시장,153,봉천제일종합시장 상인회,
첫걸음기반조성,2023,2023,부산,사하구,하단오일상설시장,153,하단오일상설시장 상인회,051-900-0821
첫걸음기반조성,2023,2023,대구,북구,동대구신시장,153,동대구신시장 상인회,053-939-7721
첫걸음기반조성,2023,2023,대구,중구,방천시장,153,방천시장 상인회,
첫걸음기반조성,2023,2023,인천,연수구,연수송도역전시장,153,송도역전시장 상인회,032-832-4288
첫걸음기반조성,2023,2023,광주,동구,지산유원지,153,지산유원지 상점가 상인회,062-236-5224
첫걸음기반조성,2023,2023,대전,중구,태평전통시장,156,태평시장 상인회,042-536-8260
첫걸음기반조성,2023,2023,대전,중구,문창전통시장,156,문창전통시장 상인회,042-272-8903
첫걸음기반조성,2023,2023,울산,동구,전하시장상점가,153,전하시장 상인회,052-252-8100
첫걸음기반조성,2023,2023,울산,남구,신정평화시장,153,신정평화시장 상인회,
첫걸음기반조성,2023,2023,경기,수원시,장안문거북시장,130,장안문거북시장 상인회,031-252-7800
첫걸음기반조성,2023,2023,경기,군포시,군포역전시장,127.5,군포역전시장 상인회,031-455-3366
첫걸음기반조성,2023,2023,경기,부천시,부천한신시장,127.5,부천한신시장 상인회,032-342-5372
첫걸음기반조성,2023,2023,경기,안산시,신안코아,153,신안코아 전통시장,031-406-2105
첫걸음기반조성,2023,2023,경기,오산시,오산 원동 상점가,130,원동 상인회,031-373-3407
첫걸음기반조성,2023,2023,경기,가평군,청평여울시장,130,청평여울시장 상인회,031-584-0948
첫걸음기반조성,2023,2023,충남,보령시,대천항종합수산물시장,130,대천항종합수산물시장 상인회,041-931-7087
첫걸음기반조성,2023,2023,충남,서산시,해미시장,127.5,해미시장 상인회,041-688-3100
첫걸음기반조성,2023,2023,충남,예산군,예산상설시장,127.5,예산시장 상인회,041-333-3318
첫걸음기반조성,2023,2023,전남,무안군,무안전통시장,153,무안전통시장 상인회,061-453-5714
첫걸음기반조성,2023,2023,전남,고흥군,고흥전통시장,153,고흥전통시장 상인회,061-833-3203
첫걸음기반조성,2023,2023,경북,포항시,오천시장,153,오천시장상인 연합회,054-292-5245
첫걸음기반조성,2023,2023,경북,경주시,경주성동공설시장,130,성동시장 상인회,054-772-4226
첫걸음기반조성,2023,2023,경북,영주시,풍기선비골인삼시장,127.5,성동시장 상인회,054-772-4226
첫걸음기반조성,2023,2023,경북,영주시,영주소백쇼핑몰,127.5,영주소백쇼핑몰상점가진흥 협동조합,054-631-4603
첫걸음기반조성,2023,2023,경남,창원시,소답시장,127.5,소답시장 상인회,055-253-3384
청년몰 활성화,2022,2022,충남,금산군,금산금빛시장,250,(사)금산시장 상인회,
청년몰 활성화,2022,2022,전북,김제시,김제전통시장,200,김제전통시장 상안회,063-543-4984
청년몰 활성화,2022,2022,제주,제주시,중앙로상점가,155,중앙로상점가상인회,070-8900-8300
청년몰 활성화,2022,2022,강원,원주시,미로예술원주중앙시장,250,(사)중앙시장번영회,033-743-2570
청년몰 활성화,2022,2022,강원,속초시,설악로데오거리상점가,250,설악로데오거리상점가 상인회,
청년몰 활성화,2022,2022,강원,삼척시,삼척중앙시장,100,삼척중앙시장조합,033-572-0909
청년몰 활성화,2022,2022,강원,정선군,사북시장,200,사북시장 상인회,
청년몰 활성화,2022,2022,경남,거창군,거창전통시장,180,거창전통시장 번영회,055-944-2581
청년몰 활성화,2023,2023,전북,익산시,중앙시장,180,중앙시장 상인회,
청년몰 활성화,2023,2023,경북,김천시,평화시장,180,평화시장 상인회,054-431-2115
청년몰 활성화,2023,2023,경남,거창군,거창전통시장,150,거창전통시장 번영회,055-944-2581
청년몰 활성화,2023,2023,제주,제주시,중앙로상점가,200,중앙로상점가상인회,070-8900-8300
